Transaction ID,Transaction Providing Organization Name,Transaction Providing Organization Id,Transaction Providing Organization Type,Transaction Providing Organization Country,Transaction Receiving Organization Name,Transaction Receiving Organization Id,Transaction Receiving Organization Type,Transaction Receiving Organization Country,Transaction Date,Transaction USD Amount,Transaction Disbursement Channel,Transaction Type,Transaction Description,Transaction Finance Type,Transaction Data Source,Transaction Data Source Url,Transaction Cluster,Transaction District,Transaction External Id Owner,Transaction External Id,Project Id,Project Title,Project Description,Project Result Description,Project Status,Project Planned Start Date,Project Planned End Date,Project Actual Start Date,Project Actual End Date,Project Total Original USD Budget,Project Funding Organization ID,Project Funding Organization Name,Project Implementing Organization ID,Project Implementing Organization Name,Project General Enquires Contact Organization,Project General Enquires Contact Department,Project General Enquires Contact Person,Project General Enquires Contact Job Title,Project General Enquires Contact Telephone,Project General Enquires Contact Emails,Project General Enquires Contact Websites,Project Cluster,Project Districts,Project Document Title,Project Document Url,Project External ID Owner,Project External ID,Project Record Data Source Name,Project Record Data Source Url
22672,"Arjun Shrestha and Barsa Shrestha, Parwat",15982,Individual,Nepal,District Disaster Relief Commitee,15983,Government,Nepal,01/01/1970 00:00,1095,Cash,Commitment,The couple announced to donate their wedding expense to earthquake victims,Grant,Online Khabar,http://www.onlinekhabar.com/2015/05/274000/,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22675,Gagan Thapa,15987,Individual,Nepal,Daibik Propakar Udar kosh,15988,Individual,Not available,01/01/1970 00:00,6972,Cash,Commitment,"Gagan Thapa has decided to denote his one year salary to earthquack victims of ward no 7,Kathmandu",Grant,Online Khabar,http://www.onlinekhabar.com/2015/04/272008/,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22676,Hak Ja Han Moon,15989,Individual,Not available,FFWPU-Nepal,15990,Individual,Not available,01/01/1970 00:00,4926,Cash,Commitment,"Universal Peace Federation (UPF) and Family Federation for World Peace and Unification (FFWPU) International Co-founder Hak Ja Han Moon has donated US$ 1 million to Nepal to be used as relief for the victims of the April-25 earthquake.  According to a statement issued by Universal Peace Federation Nepal (UPF Nepal) on Sunday half the amount -- US$ 500,000 will be given to the Prime Minister's Disaster Relief Fund while the other half will go to FFWPU-Nepal.",Grant,Republica,http://www.myrepublica.com/economy/item/20780-hak-ja-han-moon-donates-1-million-for-quake-relief.html,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22679,Global IME Bank Pvt. Ltd.,15993,Private Sector,Nepal,Schools of 5 affected districts,15994,Individual,Not available,01/01/1970 00:00,98522,Inkind,Commitment,,Grant,Online Khabar,http://www.onlinekhabar.com/2015/05/273353/,Education,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22682,India (Government of),14822,Government,India,Nepal  (Government of),16172,Government,Nepal,25/06/2015 00:00,750000000,Cash,Pledge,Pledged during the International Conference on Nepal's Reconstruction (INCR),Loan,"Embassy of India, Kathmandu",  http://www.indianembassy.org.np/index2.php?option=Ui3vzctxn5xHZVIBeyayl4Esp_mDrgNifomf1lhLMr4&id=4dBldDECRxfnOg_0UVBpujo6Q8DbriJvDLFfhoD7RBE,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22683,China (Government of),14790,Government,China,Nepal  (Government of),16172,Government,Nepal,25/06/2015 00:00,483000000,Cash,Pledge,Pledged during the International Conference on Nepal's Reconstruction (INCR),Grant,Himalayan Times,http://thehimalayantimes.com/latest/foreign-delegates-pledge-support-to-nepal-reconstruction-at-icnr/,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22684,Japan (Government of),14831,Government,Japan,Nepal  (Government of),16172,Government,Nepal,25/06/2015 00:00,224000000,Cash,Pledge,Pledged during the International Conference on Nepal's Reconstruction (INCR),Loan,"Embassy of Japan, Kathmandu",http://www.np.emb-japan.go.jp/pdf/Support%20nepal_eng.pdf,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22685,Canada (Government of),14776,Government,Canada,Nepal  (Government of),16172,Government,Nepal,25/06/2015 00:00,60000000,Cash,Pledge,Pledged during the International Conference on Nepal's Reconstruction (INCR),Grant,Ekantipur,http://www.ekantipur.com/2015/06/25/top-story/over-3.5-bn-aid-pledged-during-donor-conference/407036.html,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22686,Australia (Government of),14755,Government,Australia,Nepal  (Government of),16172,Government,Nepal,25/06/2015 00:00,20237583,Cash,Pledge,"Pledged during the International Conference on Nepal's Reconstruction (INCR). Please note: Australia promised an additional AUD6m during the conference, thereby not including previously announce support in their ICNR pledge. In order to be consistent across all donors we report here the total of AUD28m (USD20,3m).",Grant,Minister for Foreign Affairs,http://foreignminister.gov.au/releases/Pages/2015/jb_mr_150625b.aspx,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22687,Austria (Government of),14764,Government,Austria,Nepal  (Government of),16172,Government,Nepal,25/06/2015 00:00,1200000,Cash,Pledge,Pledged during the International Conference on Nepal's Reconstruction (INCR),Grant,Ekantipur,http://www.ekantipur.com/2015/06/25/top-story/over-3.5-bn-aid-pledged-during-donor-conference/407036.html,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22688,Asian Development Bank (ADB),14753,Multilateral,Not applicable,Nepal  (Government of),16172,Government,Nepal,25/06/2015 00:00,582000000,Cash,Pledge,Pledged during the International Conference on Nepal's Reconstruction (INCR),Loan,ADB,http://www.adb.org/news/adb-offers-600-million-assistance-help-nepal-rebuild-after-earthquake,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22689,European Commission,14799,Multilateral,Not applicable,Nepal  (Government of),16172,Government,Nepal,25/06/2015 00:00,124270000,Cash,Pledge,Pledged during the International Conference on Nepal's Reconstruction (INCR). EUR100m budget support and EUR12m humanitarian assistance,Grant,European Commision,http://europa.eu/rapid/press-release_MEMO-15-5259_en.htm,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22690,Finland (Government of),14806,Government,Finland,Nepal  (Government of),16172,Government,Nepal,05/05/2015 00:00,1105000,Cash,Pledge,Finland pledges additional EUR1m,Grant,Finland Ministry of Foreign Affairs,http://valtioneuvosto.fi/en/article/-/asset_publisher/suomelta-lisatukea-nepalin-maanjaristyksen-uhrien-auttamiseksi,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22691,Haiti (Government of),15996,Government,Haiti,Australian Red Cross,14761,National NGO,Australia,01/01/1970 00:00,1000000,Cash,Disbursement,,Grant,Ekantipur,http://www.ekantipur.com/2015/05/29/top-story/haiti-donates-1m-for-nepal-earthquake-recovery/405828.html,Early Recovery,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22692,Germany (Government of),14812,Government,Germany,Nepal  (Government of),16172,Government,Nepal,25/06/2015 00:00,39000000,Cash,Pledge,Pledged during the International Conference on Nepal's Reconstruction (INCR),Grant,German Embassy Kathmandu,http://www.kathmandu.diplo.de/contentblob/4566840/Daten/5644448/support_after_earthquake.pdf,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22694,Aramark,15998,Private Sector,United States,American Red Cross,16178,National NGO,United States,27/05/2015 00:00,100000,Cash,Disbursement,"Aramark has made a USD 100,000 contribution to the American Red Cross Nepal Earthquake Relief from the Aramark Charitable Fund. The company is also supporting and encouraging employees around the world to support through the American Red Cross and other relief organizations.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22698,Kingfisher,16002,Private Sector,United States,UNICEF National Committee/United Kingdom,14916,National NGO,United Kingdom,27/05/2015 00:00,28000,Cash,Commitment,"Kingfisher announced an estimated USD 28,000 donation to UNICEF United Kingdom to further relief efforts in Nepal.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Shelter and Non-food Items,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22699,Kohl's,16004,Private Sector,United States,American Red Cross,16178,National NGO,United States,27/05/2015 00:00,50000,Cash,Commitment,"Kohl's Department Stores announced a USD 50,000 donation to the American Red Cross to aid in delivering much needed supplies and services to the Nepal Earthquake area.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Shelter and Non-food Items,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22701,Archer Daniels Midland Company (ADM),16006,Private Sector,United States,American Red Cross,16178,National NGO,United States,27/05/2015 00:00,50000,Cash,Commitment,"Archer Daniels Midland Company announced a USD 50,000 donation to the Red Cross relief efforts in Nepal. In addition, the company is matching all employee donations to the Red Cross of USD 25 or more.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22704,HMSHost,16009,Private Sector,United States,American Red Cross,16178,National NGO,United States,27/05/2015 00:00,0,Inkind,Disbursement,"Through the month of June, HMSHost's locations across airports, motorways, and shopping malls will be collecting donations for the Red Cross to assist in recovery efforts in Nepal.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Early Recovery,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22707,AXA,16012,Private Sector,United States,American Red Cross,16178,National NGO,United States,01/01/1970 00:00,0,Inkind,Disbursement,"As a member of the Red Cross' Disaster Responder Program, AXA Foundation support in ""pre-investment in disaster relief"" is already helping on the ground action with the Nepal Red Cross. AXA will match employees' and financial professionals' donations through the AXA Disaster Matching Gifts program.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22708,Bank of Montreal,16013,Private Sector,United States,American Red Cross,16178,National NGO,United States,27/05/2015 00:00,25000,Cash,Commitment,"The Bank of Montreal Financial Group announced that the organization will be donating USD 25,000 to the Red Cross' Nepal Region Earthquake Fund.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22709,Bell,16014,Private Sector,United States,Canadian Red Cross,16181,National NGO,Canada,27/05/2015 00:00,100000,Cash,Commitment,"Canada's largest communications company, Bell, donated USD 100,000 to the Canadian Red Cross to support relief efforts in Nepal. In addition, Bell is working with Humanitarian Coalition to launch a PSA campaign through the media.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22710,BJ's Wholesale Club,16015,Private Sector,United States,United Nations Children's Fund (UNICEF),14775,Multilateral,Not applicable,27/05/2015 00:00,0,Inkind,Commitment,BJ's Wholesale Club has given its team members the opportunity to make an emergency donation via a one-time payroll deduction to the United States Fund for UNICEF.,Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22711,C&S Wholesale Grocers Inc.,16016,Private Sector,United States,World Food Programme (WFP),14763,Multilateral,Not applicable,27/05/2015 00:00,0,Inkind,Commitment,C&S Wholesale Grocers is making a donation to the World Food Programme to support food assistance to survivors.,Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Food Security,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22714,Canadian Imperial Bank of Commerce (CIBC),16020,Private Sector,Canada,Canadian Red Cross,16181,National NGO,Canada,27/05/2015 00:00,50000,Cash,Commitment,"In addition to a USD 50,000 donation to the Canadian Red Cross, the Canadian Imperial Bank of Commerce will be accepting donations at the CIBC brach locations across Canada on behalf of the Canadian Red Cross.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22717,Coca-Cola,16023,Private Sector,United States,Various Recipients,14744,Individual,Nepal,27/05/2015 00:00,0,Inkind,Commitment,"Fortunately, Coca-Cola's two bottling companies located in Katmandu and Bharatpur have not been affected, and the company pledges to work on providing bottled water to survivors as soon as possible.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,"Water, Sanitation and Hygiene",Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22719,DHL,16026,Private Sector,United States,United Nations Office for the Coordination of Humanitarian Affairs (UN OCHA),14784,Multilateral,Not applicable,27/05/2015 00:00,0,Inkind,Commitment,"DHL's Disaster Response Team (DRT) is on the ground in Nepal, ready to provide logistics support and help guide incoming aid through the Kathmandu International Airport. The DHL DRT will be working alongside the UN Office for the Coordination of Humanitarian Affairs.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Logistics,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22720,Diageo,16028,Private Sector,United States,CARE International,16029,International NGO,Not applicable,27/05/2015 00:00,0,Inkind,Commitment,"Diageo is providing emergency disaster relief in the form of two WHO Medical Kits, hygiene kits and water purification tablets. The WHO Medical Kits contain enough medical supplies, basic pharmaceuticals and basic surgical equipment for a population of 20,000 for three months. Diageo has established a global online donation portal for employees to make contributions which will be directed through CARE International, with an initial donation from the Diageo Foundation.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,"Water, Sanitation and Hygiene || Health || Logistics",Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22721,DSM,16030,Private Sector,United States,World Food Programme (WFP),14763,Multilateral,Not applicable,27/05/2015 00:00,60000,Cash,Commitment,"DSM will be contributing USD 50,000 and matching employee contributions to USD 100,000 to the UN World Food Programme Nepal relief efforts. DSM will also be assisting with technical nutrition advice and supplying MixMe sachets of vitamins and minerals to ensure WFP food assistance in Nepal contains sufficient nutrition.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Food Security,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22722,Economical Insurance,16031,Private Sector,Canada,Canadian Red Cross,16181,National NGO,Canada,27/05/2015 00:00,10000,Cash,Commitment,"Economical Insurance, a Canadian insurance company, donated USD 10,000 to the Canadian Red Cross relief efforts to show their support of the people in Nepal.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22723,Facebook,16032,Private Sector,United States,International Medical Corps,16033,International NGO,Not applicable,01/01/1970 00:00,2000000,Cash,Commitment,"Facebook's recently released 'Safety Check' feature will allow users in the devastated region to notify their friends and family via the social media site of their safety status. Facebook friends can see which friends have marked themselves as 'safe' and which have not yet declared their status. Additionally, Facebook users may see an option to donate money to the International Medical Corps who are on the ground helping people in the affected areas. Facebook will match every dollar donated up to USD 2 million.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Emergency Telecommunications,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22724,Fast Retailing Co.,16034,Private Sector,United States,United Nations Children's Fund (UNICEF),14775,Multilateral,Not applicable,27/05/2015 00:00,50000,Cash,Commitment,"Fast Retailing Co announced a USD 50,000 donation to the United Nations Children's Fund to support earthquake relief efforts. In addition, the organization is working with NGOs to determine the need for clothing donations in the future.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Logistics,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22725,Abbott,16021,Private Sector,United States,Various Recipients,14744,Individual,Nepal,27/05/2015 00:00,100000,Inkind,Commitment,"Abbott and its foundation the Abbott Fund are providing USD 300,000 in grants and healthcare products to help deliver immediate relief following the devastating earthquake in Nepal. The Abbott Fund is providing USD 200,000 in grants to CARE, the United Nations World Food Programme (WFP) and AmeriCares. Abbott also is donating up to USD 100,000 of critically needed healthcare products to humanitarian organizations providing on-the-ground support in Nepal.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Food Security || Health,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22727,Feizy Rugs,16038,Private Sector,United States,Global Fund for Children,16039,National NGO,United States,27/05/2015 00:00,15000,Cash,Commitment,"In response to the Nepal earthquake, Feizy Rugs announced a USD 15,000 donation to The Global Fund for Children. In addition, the company will donate a portion of their sales through May 15 to disaster relief efforts.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22728,Gap Inc.,16040,Private Sector,United States,Alliance for Bangladesh Worker Safety,16041,Individual,Not available,27/05/2015 00:00,0,Inkind,Commitment,Donations made by Gap employees through Mercy Corps will be matched by the organization. Gap is working with the Alliance for Bangladesh Worker Safety to ensure that employees in garment factories in the region are safe.,Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22732,HNA Group,16045,Private Sector,United States,Hainan Liberation Commonweal Foundation,16046,Foundation,China,27/05/2015 00:00,1000000,Cash,Commitment,"HNA Group has decided to donate USD 1M to earthquake-stricken Nepal via Hainan Liberation Commonweal Foundation to help with rescue work and reconstruction. At the same time, HNA Group will facilitate the arrangement of volunteers and relief materials under national deployment.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Logistics,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22733,Honda,16047,Private Sector,Japan,Humanitarian relief organization,16048,Individual,Not available,27/05/2015 00:00,168000,Cash,Commitment,"Honda will donate approximately 20 million Japanese yen (about USD 168,000) and supporting equipment to support the relief and recovery effort of the severely affected area through the humanitarian relief organization.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Early Recovery,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22735,Hudson's Bay Company,16050,Private Sector,United States,Canadian Red Cross,16181,National NGO,Canada,01/01/1970 00:00,41000,Cash,Commitment,"Hudson's Bay Company Foundation announced an estimated $41,000 USD donation to the Canadian Red Cross in response to the Nepal earthquake.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22736,Air Products Foundation,16051,Foundation,United States,American Red Cross,16178,National NGO,United States,27/05/2015 00:00,25000,Cash,Commitment,"Air Products Foundation committed USD 25,000 to support relief efforts through a contribution to the Red Cross disaster relief fund.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22738,IKEA,16053,Private Sector,United States,United Nations Children's Fund (UNICEF),14775,Multilateral,Not applicable,27/05/2015 00:00,3350000,Cash,Commitment,"The IKEA Foundation has announced that their organization is donating 3 million euros, or about USD 3,350,000, to UNICEF to support emergency relief efforts in Nepal. The IKEA Foundation is UNICEF's largest private sector partner and this donation will ensure that aid is reaching the children of Nepal.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22739,Intrepid Travel,16054,Private Sector,United States,Plan International,16055,International NGO,Not available,27/05/2015 00:00,78000,Cash,Commitment,"The Intrepid Foundation, promises to match donations totally up to around USD 78,000 to be donated to Plan International.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22741,Kellogg's,16057,Private Sector,United States,World Food Programme (WFP),14763,Multilateral,Not applicable,01/01/1970 00:00,200000,Cash,Commitment,"The global cereal company announced their $200,000 donation to the United Nation's affiliated World Food Programme, whose aim will be the disaster relief of those in need in Nepal.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Food Security,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22742,Lifeway Foods Inc.,16058,Private Sector,United States,World Food Programme (WFP),14763,Multilateral,Not applicable,27/05/2015 00:00,0,Inkind,Disbursement,"Through the Charity Miles smart-phone app, Lifeway Foods is pledging support to the UN World Food Programme (WFP). For every mile tracked with the app, Lifeway Foods will donate an extra 25 cents in additional support to WFP.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Food Security,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22744,American Express,16060,Private Sector,United States,Various Recipients,14744,Individual,Nepal,27/05/2015 00:00,200000,Cash,Commitment,"American Express committed USD 200,000 to support the efforts of the American Red Cross, Save the Children and the Prime Minister's National Relief Fund in India. The company will also rebate the applicable merchant transaction fee to eight U.S.-based nonprofit organizations for earthquake relief donations made directly to the organizations using their American Express Cards through May 31, 2015. It will also match employee donations up to USD 8000 per employee.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22745,Amgen Foundation,16061,Foundation,United States,Various Recipients,14744,Individual,Nepal,27/05/2015 00:00,1,Cash,Commitment,"The Amgen Foundation Disaster Relief Program has been opened for global staff. Amgen Foundation will match staff donations 1:1 made to the following responding organizations: UNICEF, Red Cross, International Medical Corps and Direct Relief International.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22749,BMG Labtech,16065,Private Sector,Nepal,Caritas Germany,16066,National NGO,Germany,27/05/2015 00:00,11000,Cash,Disbursement,"BMG Labtech donated an estimated USD 11,000 to Caritas Germany to aid in relief efforts in Nepal.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22752,Ford Motor Company,16068,Private Sector,Nepal,GlobalGiving,16069,National NGO,Not available,27/05/2015 00:00,200000,Cash,Commitment,"Through the Ford Fund, the Ford Motor Company is donating a total of USD 200,000 to Nepal relief efforts. USD 50,000 is going to Global Giving with another USD 50,000 coming from employee donation matching. In addition, another USD 100,000",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22755,Brunei (Government of),16072,Government,Brunei Darussalam,Nepal  (Government of),16172,Government,Nepal,01/01/1970 00:00,0,Inkind,Commitment,"8 man relief team (2 doctors, 4 paramedics from the Royal Brunei Armed Forces (RBAF) and Brunei's Gurkha Reserve Unit (GRU)",Grant,Wikipedia - May 3,http://en.wikipedia.org/wiki/2015_Nepal_earthquake,Health,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22757,Iran (Government of),16074,Government,"Iran, Islamic Republic of",Nepal  (Government of),16172,Government,Nepal,01/01/1970 00:00,0,Inkind,Commitment,"An 80,000 pounds (36,000kg) relief package (via India).",Grant,Wikipedia - May 3,http://en.wikipedia.org/wiki/2015_Nepal_earthquake,Food Security,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22761,Marsh and McLennan,16077,Private Sector,United States,American Red Cross,16178,National NGO,United States,27/05/2015 00:00,50000,Cash,Commitment,"Marsh and McLennan Companies will match all colleague contributions made through the Red Cross. In addition, the Company has committed USD 50,000 to the rebuilding efforts.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Shelter and Non-food Items,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22763,MetLife,16079,Private Sector,United States,International Medical Corps,16033,International NGO,Not applicable,27/05/2015 00:00,250000,Cash,Commitment,"The MetLife Foundation announced a USD 250,000 donation to the International Medical Corps organization. The donation will provide on-the-ground healthcare services to the earthquake survivors and to provide medical first repsonders with necessary supplies in their efforts.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Health,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22767,MoneyGram,16083,Private Sector,United States,AmeriCares,16084,National NGO,United States,27/05/2015 00:00,25000,Cash,Commitment,"Through a series of initiatives, MoneyGram is encouraging employees and customers to donate to the American Red Cross, waiving transaction fees for customers making a donation. In addition, MoneyGram is donating USD 25,000 to AmeriCares for immediate relief efforts.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Shelter and Non-food Items,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22768,National Bank of Canada,16085,Private Sector,Canada,Canadian Red Cross,16181,National NGO,Canada,27/05/2015 00:00,15000,Cash,Commitment,"National Bank of Canada announced its support of the Canadian Red Cross with a USD 15,000 donation to relief efforts in Nepal.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Shelter and Non-food Items,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22771,New York Life,16087,Private Sector,United States,Save the Children,14787,International NGO,Not applicable,27/05/2015 00:00,50000,Cash,Commitment,"New York Life is providing USD 50,000 to Save the Children for their Earthquake Children's Relief Fund.",Grant,US Chamber of Commerce Foundation,http://www.uschamberfoundation.org/corporate-citizenship-center/nepal-earthquake-corporate-aid-tracker,Shelter and Non-food Items,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
